,USER_ID,PRODUCT_ID,RATING,DATE,LABEL,REVIEW_TEXT,AVERAGE_RATING,RATING_DEVIATION,TOTAL_PRODUCT_REVIEWS,REVIEW_LENGTH,RATING_CATEGORY,SINGLE_RATING_CATEGORY,REVIEW_COUNT_DATE,SAME_DATE_MULTIPLE_REVIEWS,MAX_USER_REVIEWS_DAY,TIMESTAMP_DIFFERENCE,AVERAGE_USER_REVIEW_LENGTH,TOTAL_USER_REVIEWS,PERCENTAGE_POSITIVE_REVIEWS,RATIO_POSITIVE_NEGATIVE
144828,66563,416,4,2014-12-10,-1,Great.....,3.767292716445259,0.23270728355474102,2183,10,1,1,1,0,2,0 days,11.5,2,100.0,6.157377049180328
157607,74755,449,4,2013-03-26,1,"My family and I had Bubby's brunch on a Saturday morning. Â We got there at 10am and there wasn't much of a wait. Â Tribeca must be a family friendly neighborhood since everyone parked their strollers outside without worry. Â For those with itty bitty ones they do have high-chairs and the changing table is located downstairs. Â  As for the food, I had the Bubby's Breakfast with homefries and ham. Â The ham was a bit dry but everything else on the plate was good. Â I had a taste of my sister's blueberry pancakes and it was delicious. Â The only negative was what looked like a chunk of cheese on the lip of my coffee cup. Â I don't think they make French Onion coffee. Â Our waitress apologized and replaced the cup. Â At $30 per person it's expensive for breakfast + coffee + tax but this isn't your neighborhood IHOP.",3.396551724137931,0.603448275862069,812,824,1,1,2,0,2,1723 days,724.6666666666666,12,100.0,3.1218274111675126
70401,49165,237,3,2011-10-11,1,"I really like this place, but they need to get their menu sorted out. I finally went for brunch, which I'd been eager to try based on reviews and the mouth-watering online menu (sugarfreak.com/fooddrinkâ€¦), but was disheartened when the baked apple with moonshine double cream wasn't available. That's just cruel!",3.799003322259136,0.7990033222591362,602,314,1,1,2,0,1,0 days,314.0,1,100.0,6.08235294117647
124810,75653,363,5,2014-01-14,1,This is one of my favorite places in the US. Awesome! No reservations and the place was packed but the maÃ®tre d' squeezed us in when someone didn't arrive on time. Carol was our server and she was really helpful and made some great recommendations. Simply the best steak tartare!,3.9903614457831327,1.0096385542168673,2075,280,1,1,1,0,1,0 days,280.0,1,100.0,9.121951219512194
42068,32402,100,4,2014-12-02,1,Make sure you go with a small group of friends that ALL like to share food so you can try 1 of everything that everyone on here is talking about. Â I loved it ALL except I won't know about the breakfast sandwich until the next time I go since this one girl at our table wouldn't give me a bite. Â C'mon! Â I'm always a Savory over Sweet breakfast lover BUT I had a foodgasm for the (you guessed it) blueberry pancakes. Â I'm thinking about the blueberry pancakes right now......,3.9518117295480013,0.048188270451998694,2677,478,1,1,2,0,1,398 days,255.66666666666666,3,100.0,8.734545454545454
16670,14924,50,5,2014-10-12,1,Have been coming here since they opened. The quality has always been great and the selection of bahn mi sandwiches has expanded significantly. I love the bulgogi bomb me and the bahn mi fries. They also have delicious bubble teas and jelly drinks.,4.351713859910581,0.6482861400894189,671,247,1,1,1,0,1,0 days,247.0,1,100.0,26.958333333333332
314279,2152,829,4,2014-09-07,1,"It is a quaint little cafÃ© and a great spot for brunch. I ate everything less the plate itself which says quite a bit all its own. An omelet for myself with the perfectly seasoned hashbrowns and salad, my friend scrambled eggs and crispy bacon. We took our time catching up from the little things to big and were never rushed even though it felt as though we were there long enough to have understood if they'd shoved the check at us. Definitely a solid brunch place on a nice relaxing Sunday.",3.9418282548476453,0.05817174515235468,361,494,1,1,1,0,1,342 days,631.8823529411765,34,100.0,11.448275862068966
97626,7706,266,4,2014-02-09,1,"Station House is a Beer Hall, Whiskey Den, and Gastropub located in Forest Hills. Â I was invited here by another Yelp Elite - Will C - for a football game, and I loved it! Â The atmosphere was modern and clean. My faves? - Beer Menu - OH THE VARIETY! Â All of the beers being served on draft are up on a TV screen with a monitor of how much beer is left in the keg. Â Pretty awesome. - Smoked Ribs - Steak Sandwich - Roasted Brussel Sprouts - Truffle Pecorino Fries ENJOY!!",4.138810198300283,0.13881019830028318,353,474,1,1,2,0,1,1939 days,1005.8372093023256,43,100.0,14.347826086956522
74055,51331,808,5,2013-08-22,1,"Most Amazing Brunch in the City. Â Everything on the brunch menu is a hit - especially the pan dolce and tres arepas. Â 1 hour all you can drink for $12 with a wide variety of brunch drinks - including mimosas, bloody marys, a few different kinds of margaritas, etc. Service is absolutely impeccable. Â William, The Maitre d', and the rest of the staff are all super nice and attentive. Â Making sure that you are having a great time throughout your entire stay. Â If you are doing the drink special - you will not have an empty glass ever. I haven't been in for dinner yet, but plan on it very soon.",4.2329803328290465,0.7670196671709535,661,600,1,1,1,0,1,0 days,600.0,1,100.0,16.864864864864863
147998,85655,421,5,2014-11-29,1,A lot of pony tailed tattooed hunks tending bar. Excellent Aperol spritzs. I would recommend,4.31,0.6900000000000004,100,92,1,1,1,0,1,0 days,92.0,1,100.0,11.5
