,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RATING,VERIFIED_PURCHASE,REVIEW_TITLE,REVIEW_TEXT,NUM_NOUNS,NUM_VERBS,NUM_ADJECTIVES,NUM_ADVERBS,REVIEW_LENGTH,SENTIMENT_SCORE,TITLE_LENGTH,AVERAGE_RATING,RATING_DEVIATION,NUM_REVIEWS,READABILITY_FRE,SENTIMENT_CATEGORY_ENCODED,RATING_CATEGORY_ENCODED,COHERENT_ENCODED,AVG_WORD_LENGTH,LABEL_ENCODED,NUM_NAMED_ENTITIES,CAPITAL_CHAR_COUNT,PUNCTUATION_COUNT,PREPROCESSED_REVIEW_TEXT,WORD_COUNT,SENTIMENT_SCORE_TITLE,SENTIMENT_LABEL_TITLE,AVG_RATING_VERIFIED,AVG_RATING_NON_VERIFIED,DEVIATION_VERIFIED,DEVIATION_NON_VERIFIED
0,0,0,0,0,4,0,useful,think so product save day case need someth,4,5,1,5,116,0.539,6,4.0,0.0,1,105.66,1,1,1,4.375,0,1,0,0,think product save day case need someth,8,0.4404,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
1,1,1,1,1,4,1,New era for batteries,lithium batteri new introduc market averag develop cost rel high stallion do not compromis qualiti provid good low costbr there build technic assist act like sensor particular forté batteri keep phone charg work voltag high voltag risk,15,15,12,5,404,0.296,21,4.0,0.0,2,33.92,1,1,1,5.378378378378378,0,1,0,0,lithium batteri new introduc market averag develop cost rel high stallion compromi qualiti provid good low costbr build technic assist act like sensor particular forté batteri phone charg work voltag high voltag risk,37,0.0,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
2,2,2,2,2,3,0,doesn't swing very well.,purchas swing babi 6 month pretti grow -pron- loud do not swing well beauti though love color lot set do not think worth money,7,13,4,10,248,0.4059,24,3.0,0.0,1,80.96,1,1,1,4.291666666666667,0,1,0,2,purcha swing babi 6 month pretti grow -pron- loud swing beauti love color lot set think worth money,24,-0.2572,0,4.243802359377671,3.9822618791657707,1.2438023593776713,0.9822618791657707
3,3,3,3,3,4,0,Great computing!,look inexpen desk calcolatur be work ne issu tilt slightli hit key rock littl bit big deal,8,10,4,5,212,0.0,16,4.5,-0.5,2,71.14,0,1,0,4.352941176470588,0,2,0,0,look inexpen desk calcolatur work ne issu tilt slightli hit key rock littl bit big deal,17,0.6588,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
4,4,4,4,4,4,0,Only use twice a week,use twice week result great tooth whiten solut -pron- result use time week potenc solut techniqu tray keep tooth mouth,14,12,7,4,331,0.6249,21,4.5,-0.5,2,76.56,1,1,1,4.95,0,2,0,2,use twice week result great tooth whiten solut -pron- result use time week potenc solut techniqu tray tooth mouth,20,0.0,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
5,5,5,5,5,3,0,not sure,-pron- be sure suppo recommend littl research cultur pipe plan give gift -pron-,5,11,2,2,188,0.7717,8,3.0,0.0,1,66.74,1,1,1,5.153846153846154,0,0,0,4,-pron- sure suppo recommend littl research cultur pipe plan gift -pron-,13,-0.2411,0,4.243802359377671,3.9822618791657707,1.2438023593776713,0.9822618791657707
6,6,6,6,6,4,0,PING PONG TABLE GREAT FOR YOUTHS AND FAMILY,plea ping pong tabl 11 year old 13 year old have blast plu lot famili entertain too plu good kid sit video game day friend togeth believ challeng handl,16,8,3,4,261,0.8126,43,4.0,0.0,1,75.88,1,1,1,4.241379310344827,0,4,0,0,plea ping pong tabl 11 year old 13 year old blast plu lot famili entertain plu good kid sit video game day friend togeth believ challeng handl,29,0.6249,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
7,7,7,7,7,4,1,Great vitamin C serum,great vitamin c serum like oil feel sticki week recent bug bite help heal skin faster normal,9,4,6,4,169,0.8885,21,4.0,0.0,1,79.6,1,1,1,4.470588235294118,0,1,0,0,great vitamin c serum like oil feel sticki week recent bug bite help heal skin fast normal,17,0.743,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
8,8,8,8,8,4,0,wonderful detergent.,-pron- have tide pod laundri deterg yearsit great deterg use have nice scent leaver cloth smell fresh,7,6,7,0,144,0.8481,20,4.0,0.0,1,88.06,1,1,1,5.0,0,1,0,2,-pron- tide pod laundri deterg yearsit great deterg use nice scent leaver cloth smell fresh,17,0.5719,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
9,9,9,9,9,1,0,WARNING: do not waste your money on this,everybodi want fall promis rel unheard brand non exist compani look amateur label product be ask trust kind amateur stuff way do not wast money,10,12,8,4,279,0.7906,40,1.0,0.0,1,54.56,1,0,0,4.76,0,0,0,0,everybodi want fall promi rel unheard brand non exist compani look amateur label product ask trust kind amateur stuff way wast money,25,-0.2025,0,4.243802359377671,3.9822618791657707,3.2438023593776713,2.9822618791657707
10,10,10,10,10,1,0,Unfortunately they didn't work for me.,unfortun do not work -pron- sick throw time tri,1,5,1,3,104,0.4023,38,1.0,0.0,1,96.18,1,0,0,4.333333333333333,0,1,0,2,unfortun work -pron- sick throw time tri,9,-0.34,0,4.243802359377671,3.9822618791657707,3.2438023593776713,2.9822618791657707
11,11,11,11,11,4,0,She said that it is easy to use,kettl gift daughter say easi use like design -pron- nice neat,4,5,4,1,117,0.8807,31,4.0,0.0,1,85.69,1,1,1,4.636363636363637,0,1,0,2,kettl gift daughter easi use like design -pron- nice neat,11,0.4404,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
12,12,12,12,12,4,0,Works great,love tumbler keep drink warm cold good period time sturdi complement sleek look time especi do not leav fingerprint highli recommend suggest wash lid sure shake dri prevent drip lid tumbler,12,12,9,9,338,0.9042,11,4.0,0.0,1,48.47,1,1,1,5.129032258064516,0,0,0,0,love tumbler drink warm cold good period time sturdi complement sleek look time especi leav fingerprint highli recommend suggest wash lid sure shake dri prevent drip lid tumbler,31,0.6249,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
13,13,13,13,13,4,0,Just OK,give 3 star cheap mild sed effect -pron- pretti useless stressanxietypan attack save money ad zenrx night day differenceasinb00hbgbry4 zenrx dietari supplement reduc symptom anxieti stress depress panic attack boost mood increas relax beat anxieti kava kava 5htp theanin gaba more money guarante,24,8,11,4,457,-0.8591,7,4.0,0.0,1,10.91,0,1,0,5.883720930232558,0,4,0,2,3 star cheap mild se effect -pron- pretti useless stressanxietypan attack save money ad zenrx night day differenceasinb00hbgbry4 zenrx dietari supplement reduc symptom anxieti stress depress panic attack boost mood increa relax beat anxieti kava kava 5htp theanin gaba money guarant,43,0.4466,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
