,UNNAMED: 0,URL,REVIEW_TITLE,RATINGS,REVIEW,VERIFIED,DATE_X,USER_NAME,USER_ID,MAX_REVIEWS_DAY,BY_LINK,HELPFUL_VOTES,PRODUCT,PRODUCT_LINK,REVIEW_SENTIMENT,TOTAL_REVIEWS,AVERAGE_RATING,RATING_DEVIATION,REVIEW_LENGTH,TITLE_LENGTH,TOTAL_USER_REVIEWS,DATETIME,REVIEW_DATE_DIFF
0,0,https://www.amazon.co.uk/gp/review/R18JE8EYCYXO66/,I rarely use them but..,5,"These headphones are pretty damn good for the money! Its just as good--if not--better than most of the competitors producing in-ear headphones that cost more than 5-10x as much. There's no reason to spend �100-100+ on some in-ear headphones when you can simply pick these up at less than a fraction of the cost. I would highly recommend these to anyone considering them. The clarity is consistent and the bass is AMPLE. Your music will sound full and dynamic making a pleasurable experience for any sound played through them. Not to mention, the quality is durable and they will last for months. I'd give this a 6 Star rating if possible.",0,2017-04-25,Sandra Morgan,AFNMUCU4D7HN6NLUSQXPYSS7ZT6A,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AFNMUCU4D7HN6NLUSQXPYSS7ZT6A/ref=cm_cr_srp_d_pdp?ie=UTF8,39,Earphones In ear Black&Red,https://www.amazon.co.uk/Earphones-In-ear-Black-Red-White/dp/B07166Q2LS/ref=cm_cr_srp_d_product_top?ie=UTF8,0.223021,115.0,5.0,0.0,638,23,1,2017-04-25,0
1,1,https://www.amazon.co.uk/gp/review/R3M2146VNTDEP2/,Best Price for Great Workout / Running Headphones,5,"These are amazing for �10. AMAZING. They stick in your ear regardless of the exercise I've been doing. Jolting around, weights, running, walking... they stick well enough to pull the little mp3 player I use (sansa clip+ excellent btw) out of my pocket. For �10, these cannot be beat.",0,2017-05-03,Ryan Gibson,AEMS5UDZTZN4L3BIJV57COUNV2FA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AEMS5UDZTZN4L3BIJV57COUNV2FA/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Earphones In ear Black&Blue,https://www.amazon.co.uk/Earphones-In-ear-Black-Blue/dp/B071NFGLRD/ref=cm_cr_srp_d_product_top?ie=UTF8,0.4025,5.0,5.0,0.0,283,49,4,2017-05-03,39
2,2,https://www.amazon.co.uk/gp/review/R3U00QINFHPU0F/,Amazed at how good these sound for the price.,5,"They fit very comfortably in my ear and have plenty of bass for my liking. They sound well balanced without too much emphasis on lows or highs. Maybe there's an expensive set out there which sound amazing for true audiophiles, but I would recommend these to anyone looking for quality without breaking the bank. They feel like they might even stay in place while working out without having to use around the ear clips.",0,2017-04-28,Ryan Gibson,AEMS5UDZTZN4L3BIJV57COUNV2FA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AEMS5UDZTZN4L3BIJV57COUNV2FA/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Headphones with Earhook Design Black,https://www.amazon.co.uk/Headphones-with-Earhook-Design-Black/dp/B071CWY97M/ref=cm_cr_srp_d_product_top?ie=UTF8,0.246667,11.0,5.0,0.0,418,45,4,2017-04-28,39
3,3,https://www.amazon.co.uk/gp/review/R5BZDAV3JC42E/,Earbuds that give you great sound for a small price!,5,"These earbuds will change the way you look at the this brand brand. I've always thought most of the stuff this brand made was kind of cheap and looking at these earbuds and their price it was hard not to think the same about them as well. But, even being a really big skeptic of them even after reading review after review on these earbuds of how amazing they were I ordered a pair to make own decision about how good they actually were. After getting them I quickly followed the advice of one of the reviews I had read and found the right size ear pads that go over the earbuds to make sure I had the best fit possible with them. After listening to them for a week straight 7-8hrs. a day and with different kinds of music rock, r&b, trance, etc... to make sure they were getting a full rounded break in period they became music to my ears! The lows, mids, and highs were exactly what I was looking for so long in some earbuds! I couldn't believe my ears! These earbuds really did deliver! I've tried Audio Technica's earbuds with some people claiming they sounded as good as the ATH-M50x's (which is a pretty big claim) only to find out that the reviewer was wrong they weren't even close to how good the ATH-M50x's sounded. They lacked bass and the highs were ear piercing! With the this brand's it was all there and well balanced and they get better and better the more I use them. If you're looking for a good pair of earbuds don't pass these up. You can't beat what you get for what a small price you pay for these earbuds.",0,2017-04-25,Ryan Gibson,AEMS5UDZTZN4L3BIJV57COUNV2FA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AEMS5UDZTZN4L3BIJV57COUNV2FA/ref=cm_cr_srp_d_pdp?ie=UTF8,35,In Ear Earphones Black,https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,0.28855,115.0,5.0,0.0,1528,52,4,2017-04-25,39
4,4,https://www.amazon.co.uk/gp/review/R1AS6K8FBV8YOX/,Great price,5,"These headphones are a great value for this price, I have tried many earbuds and these seem to be great clear quality in comparison. Solid sound, durable and pretty comfortable. I can control the music on the cable or answer my phone call, very good design, love these so much!",0,2017-03-25,Ryan Gibson,AEMS5UDZTZN4L3BIJV57COUNV2FA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AEMS5UDZTZN4L3BIJV57COUNV2FA/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Headphones OCOMI In-line Control Earbuds Wired Earphones with Microphone Crystal Sound Compact Design Black,https://www.amazon.co.uk/Headphones-OCOMI-Control-Earphones-Microphone-Black/dp/B06WW3CHTF/ref=cm_cr_srp_d_product_top?ie=UTF8,0.446364,6.0,5.0,0.0,277,11,4,2017-03-25,39
5,5,https://www.amazon.co.uk/gp/review/R897BXJR49URD/,happy with product,5,Fit well & work well,1,2017-06-20,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,15,"Earphones, XuDirect Earbuds In-line Control Headphones with Microphone Black",https://www.amazon.co.uk/Earphones-XuDirect-Earbuds-Headphones-Microphone-Brown/dp/B01N6JP5S4/ref=cm_cr_srp_d_product_top?ie=UTF8,0.4,107.0,4.841121495327103,0.1588785046728968,20,18,18,2017-06-20,1184
6,6,https://www.amazon.co.uk/gp/review/R1LZDSEDMOR6KE/,easy to fit & use,5,"Works well, very easy to use, just plug in.",1,2017-06-20,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,"Wireless Doorbell, JETech 2-Main Portable Wireless DoorBell Chime Plug-in Push Button (Black) - 2127D",https://www.amazon.co.uk/Wireless-Doorbell-JETech-Portable-Black/dp/B01M0XB2LN/ref=cm_cr_srp_d_product_top?ie=UTF8,0.563333,1.0,5.0,0.0,43,17,18,2017-06-20,1184
7,7,https://www.amazon.co.uk/gp/review/R1T5JMD99F61L3/,VFM,4,Good value for money but could do with adjustable elastic band.,1,2017-06-20,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,"2pcs Simply Gorgeous Travel Sleep Rest Eye Shade Sleeping Mask, purple",https://www.amazon.co.uk/Simply-Gorgeous-Travel-Sleeping-purple/dp/B00NXN0DZ8/ref=cm_cr_srp_d_product_top?ie=UTF8,0.7,1.0,4.0,0.0,63,3,18,2017-06-20,1184
8,8,https://www.amazon.co.uk/gp/review/R5HNDQO86WD8L/,Good wrist support,5,Very happy with this mat - stops that aching wrist.,1,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,TRIXES Bronze Mouse Mat Pad with Comfort Gel Wrist Rest Support for PC and Laptop,https://www.amazon.co.uk/TRIXES-Bronze-Comfort-Support-Laptop/dp/B01951N1B4/ref=cm_cr_srp_d_product_top?ie=UTF8,1.0,1.0,5.0,0.0,51,18,18,2017-03-09,1184
9,9,https://www.amazon.co.uk/gp/review/R1MC0WZIR6OJGK/,Easy to use mouse,5,"Just received this week, works well, no problems once I worked out that you just have to use the roller to wake it up again after a session break! Comfortable to use.",1,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,"Wireless Mouse, [Hot Sales Version] Pictek 2.4G USB Cordless Mouse Computer PC Laptop Mouse Optical Mice with Nano Receiver, 6 Buttons, 2400 DPI 5 Adjustment Levels,18 Month Battery Life, Auto Sleeping for Windows 7/8/10/XP, Vista, Mac and Linux - Black",https://www.amazon.co.uk/Wireless-Cordless-Computer-Receiver-Adjustment/dp/B01AW9KJ9A/ref=cm_cr_srp_d_product_top?ie=UTF8,0.4,1.0,5.0,0.0,166,17,18,2017-03-09,1184
10,10,https://www.amazon.co.uk/gp/review/R1JNOOM4129TYQ/,Very handy,5,"Bought for a friend, in constant use.",1,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Mothers Day Gift Ceramic Nose Shaped Eyeglass Spectacle Holder Display Stand Studio Pottery Home Office Desk Accessory,https://www.amazon.co.uk/Mothers-Ceramic-Eyeglass-Spectacle-Accessory/dp/B01IY7UYCY/ref=cm_cr_srp_d_product_top?ie=UTF8,0.0,1.0,5.0,0.0,37,10,18,2017-03-09,1184
